Direction,District,Floor,Garden,Id,Layout,Price,Region,Renovation,Size,Subway,Taxfree,Year
南,陆家嘴,25,久阳滨江公寓,107102592585,2室1厅,620,浦东,精装,78.0,是,否,2006
东南,临港新城,5,绿地蓝海庭,107103367154,1室1厅,150,浦东,简装,58.0,否,否,2008
南,世博,6,齐二小区,107103324158,1室1厅,228,浦东,精装,40.0,是,否,1995
南,塘桥,5,港驳小区,107102818589,1室0厅,204,浦东,精装,33.0,是,否,1982
南,高行,6,双桥小区,107102665126,1室1厅,435,浦东,简装,47.0,是,是,1997
西南,源深,24,桃林小区,107102088967,2室1厅,850,浦东,精装,103.0,是,否,1997
南,航头,18,鹤沙航城东茗苑,107103292507,2室1厅,280,浦东,精装,78.0,否,否,2013
南,周浦,6,桃园新城中虹佳园,107103082845,2室1厅,275,浦东,精装,72.0,否,是,2007
南,杨思前滩,6,三林世博家园(大道站路94弄),107103288286,1室1厅,328,浦东,精装,56.0,否,否,2006
南,杨思前滩,6,三林世博家园(大道站路94弄),107102855375,1室1厅,315,浦东,简装,56.0,否,是,2006
南北,周浦,6,安阁苑,107103130028,2室2厅,278,浦东,简装,72.0,否,是,2006
南北,世博,6,昌七小区,107103226044,1室1厅,235,浦东,简装,44.0,是,是,1996
南北,周浦,5,桃园新城中城苑,107102403220,2室1厅,300,浦东,精装,71.0,否,是,2006
南,潍坊,6,潍坊九村,107103062397,2室1厅,600,浦东,精装,49.0,是,是,1986
南,惠南,19,惠康苑,107102231580,2室1厅,204,浦东,简装,79.0,否,是,2014
南,梅园,5,崂山四村,107103216454,1室1厅,286,浦东,简装,40.0,是,是,1958
南,南码头,6,锦南浦三小区,107102942469,2室1厅,280,浦东,简装,51.0,是,是,1996
南,书院镇,6,丽泽荷亭苑,107101803338,1室1厅,127,浦东,简装,61.0,否,是,2009
南,周浦,14,汇腾南苑,107103132039,2室1厅,320,浦东,精装,79.0,否,是,2007
南,洋泾,5,海防新村,107103057950,2室0厅,259,浦东,简装,45.0,否,是,1981
南,南码头,6,临沂六村,107103213309,1室0厅,210,浦东,简装,40.0,是,是,1992
南,金桥,6,荷五小区,107103323247,2室1厅,370,浦东,毛坯,68.0,否,是,1995
南,曹路,14,舜峰家苑,107103466152,1室1厅,243,浦东,简装,56.0,否,否,2010
南北,周浦,14,桃园新城中虹佳园,107103457970,2室1厅,380,浦东,精装,86.0,否,否,2007
南,曹路,14,佳伟景苑,107103143451,2室1厅,355,浦东,简装,74.0,否,否,2013
南,世博,6,上南十二村,107103132299,2室1厅,270,浦东,精装,47.0,是,是,1994
南北,金桥,6,东陆新村七街坊,107102796418,2室1厅,285,浦东,简装,60.0,是,否,1997
南,塘桥,24,峨海小区,107103382545,2室2厅,845,浦东,精装,99.0,是,是,2000
南,惠南,11,惠康苑东苑,107103179322,2室2厅,188,浦东,简装,80.0,否,否,2014
南,古美,6,古美五村,107102193706,2室1厅,350,闵行,精装,60.0,是,否,1995
南,莘庄,6,宝安新苑,107102981229,2室1厅,405,闵行,精装,73.0,否,否,1996
南,老闵行,6,剑桥丽苑,107103041699,4室2厅,648,闵行,简装,161.0,否,否,2006
南,古美,6,新梅花苑,107103354545,2室1厅,333,闵行,简装,58.0,是,否,1995
南,颛桥,6,银都新村(8至10区),107103339728,2室1厅,330,闵行,简装,56.0,是,否,1995
南,梅陇,6,罗阳二村,107103071313,2室2厅,485,闵行,精装,94.0,否,否,1998
南,梅陇,5,西班牙名园,107102993126,3室2厅,880,闵行,简装,117.0,是,否,2001
南,龙柏,9,新华红星国际广场,107102779233,2室2厅,435,闵行,精装,75.0,是,否,2017
南,老闵行,6,金榜世家（六期）,107103389052,4室3厅,859,闵行,简装,194.0,否,否,2004
南,龙柏,6,龙柏城市花园,107102315359,2室2厅,630,闵行,精装,108.0,否,否,1998
南,老闵行,6,新华小区,107103325218,2室1厅,175,闵行,简装,50.0,否,否,1992
南,古美,6,虹莘家园,107103372137,3室2厅,778,闵行,精装,130.0,是,否,2003
南,老闵行,6,红旗四街坊,107103073339,3室2厅,280,闵行,简装,69.0,否,否,2004
南,吴泾,19,万乐城(商业类),107102870389,1室0厅,89,闵行,精装,27.0,否,否,2015
南,华漕,6,紫堤苑,107103069914,2室1厅,325,闵行,毛坯,85.0,否,否,2000
南,闵浦,9,虹浦新城南区,107103358757,2室1厅,240,闵行,精装,76.0,是,否,2008
南,春申,18,中海寰宇天下,107103357410,3室2厅,1099,闵行,精装,130.0,否,否,2015
